SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (2-4 Unit),2926 South Normandie Ave,Los Angeles (City),CA,90008,699000,4,4,Los Angeles Southwest,3720,6561,1913,96,188,,Active,,,http://www.redfin.com/CA/Los-Angeles-City/2926-S-Normandie-Ave-90008/home/113704648,TheMLS,17-219386
MLS Listing,,Multi-Family (2-4 Unit),2011 West Jefferson,Los Angeles (City),CA,90018,749000,2,3,Mid Los Angeles,2672,5205,1924,96,280,,Active,,,http://www.redfin.com/CA/Los-Angeles/2011-W-Jefferson-Blvd-90018/home/113704412,TheMLS,17-219626
MLS Listing,,Multi-Family (5+ Unit),741 -743 W Imperial,Los Angeles,CA,90044,519900,3,6,699 - Not Defined,2854,8839,1949,96,182,,Active,,,http://www.redfin.com/CA/Los-Angeles/743-W-Imperial-Hwy-90044/home/113704298,CRMLS,DW17073080
MLS Listing,,Multi-Family (5+ Unit),1013 BLINN,Wilmington,CA,90744,658000,6,6,196 - East Wilmington,1928,6409,1945,97,341,,Active,,,http://www.redfin.com/CA/Los-Angeles/1013-N-Blinn-Ave-90744/home/7680322,CRMLS,PV17034268
MLS Listing,,Multi-Family (2-4 Unit),3201 Liberty Blvd,South Gate,CA,90280,639000,4,2,"T2 - Cudahy, SouthGate W of 710, HuntPk S of Flore",2282,6550,1940,99,280,,Active,,,http://www.redfin.com/CA/South-Gate/3201-Liberty-Blvd-90280/home/7377770,CRMLS,OC17074349
MLS Listing,,Multi-Family (2-4 Unit),8407 Avalon,Los Angeles (City),CA,90003,665000,4,4,Metropolitan South,3422,5419,1914,99,194,,Active,,,http://www.redfin.com/CA/Los-Angeles/8407-Avalon-Blvd-90003/home/7289853,TheMLS,17-218314
MLS Listing,,Multi-Family (2-4 Unit),411 413 W 111th St,Los Angeles,CA,90061,490000,6,2,C34 - Los Angeles Southwest,1,6043,1988,99,490000,,Active,,,http://www.redfin.com/CA/Los-Angeles/413-W-111th-St-90061/home/113680972,CRMLS,PW17074374
MLS Listing,,Multi-Family (2-4 Unit),237 West 97th St,Los Angeles (City),CA,90003,338000,4,2,Metropolitan South,1333,5392,1919,99,254,,Active,,,http://www.redfin.com/CA/Los-Angeles/237-W-97th-St-90003/home/8090773,TheMLS,17-219154
MLS Listing,,Multi-Family (2-4 Unit),2254 West 15th St,Los Angeles (City),CA,90006,830000,4,4,Mid Los Angeles,3164,7486,1921,100,262,,Active,,,http://www.redfin.com/CA/Los-Angeles/2254-W-15th-St-90006/home/6896646,TheMLS,17-218802
MLS Listing,,Multi-Family (2-4 Unit),972 South Hoover St,Los Angeles (City),CA,90006,879000,6,4,Downtown Los Angeles,4148,3207,1915,100,212,,Active,,,http://www.redfin.com/CA/Los-Angeles/972-S-Hoover-St-90006/home/6931792,TheMLS,17-218772
MLS Listing,,Multi-Family (2-4 Unit),328 W 69th St,Los Angeles,CA,90003,385000,4,2,C34 - Los Angeles Southwest,2,4547,1923,100,192500,,Active,,,http://www.redfin.com/CA/Los-Angeles/328-W-69th-St-90003/home/7277319,CRMLS,CV17072256
MLS Listing,,Multi-Family (2-4 Unit),325 E 80th St,Los Angeles,CA,90003,550000,4,4,699 - Not Defined,2616,7814,1960,101,210,,Active,,,http://www.redfin.com/CA/Los-Angeles/325-E-80th-St-90003/home/7289651,CRMLS,RS17072329
MLS Listing,,Multi-Family (2-4 Unit),436 N Pacific Ave,Los Angeles,CA,90731,649900,8,4,699 - Not Defined,3840,4501,1964,101,169,,Active,,,http://www.redfin.com/CA/Los-Angeles/436-N-Pacific-Ave-90731/unit-4/home/7688355,CRMLS,RS17072084
MLS Listing,,Multi-Family (2-4 Unit),5452 9th Ave,Los Angeles,CA,90043,800000,,,C34 - Los Angeles Southwest,3071,7503,1939,101,261,,Active,,,http://www.redfin.com/CA/Los-Angeles/5452-9th-Ave-90043/home/6864748,CRMLS,CV17072070
MLS Listing,,Multi-Family (2-4 Unit),5943 South San Pedro St,Los Angeles (City),CA,90003,747500,8,4,Downtown Los Angeles,2548,4788,1993,102,293,,Active,,,http://www.redfin.com/CA/Los-Angeles/5943-S-San-Pedro-St-90003/home/7273536,TheMLS,17-217948
MLS Listing,,Multi-Family (2-4 Unit),5939 South San Pedro St,Los Angeles (City),CA,90003,747500,8,4,Downtown Los Angeles,2548,4788,1993,102,293,,Active,,,http://www.redfin.com/CA/Los-Angeles/5939-S-San-Pedro-St-90003/home/7273535,TheMLS,17-217946
MLS Listing,,Multi-Family (2-4 Unit),1016 Figueroa TE,Los Angeles,CA,90012,829000,3,3,671 - Silver Lake,1589,3142,1914,102,522,,Active,,,http://www.redfin.com/CA/Los-Angeles/1016-Figueroa-Ter-90012/home/7054447,CRMLS,WS17069903
MLS Listing,,Multi-Family (2-4 Unit),220 S MATHEWS St,Los Angeles,CA,90033,710126,5,5,BOYH - Boyle Heights,2965,5630,1910,102,240,,Active,,,http://www.redfin.com/CA/Los-Angeles/220-S-Mathews-St-90033/home/113659495,CRMLS,DW17070494
MLS Listing,,Multi-Family (2-4 Unit),1844 Pine Ave,Long Beach,CA,90806,624999,4,3,5 - Wrigley Area,2315,6734,1956,103,270,,Active,,,http://www.redfin.com/CA/Long-Beach/1844-Pine-Ave-90806/home/7572640,CRMLS,DW17069930
